Team,Seed,Did not win last year's championship,,Top 20 Off. and Top 45 Def.,,Past Quarterfinals,Away Win % > 50,Not in the red TOV ,Offense < 36 Spots,Shoot > 33 % from 3 ,,Score > 73 PPG,On or above 50th per TOV % ,,Unranked -> Top 10 ,No scoring margin under 10,,Scoring margin above 15 ,,FG % > 45 ,From Power Conference,,On or above 50th per 3PT %,,Ranked no worse than 12 ,,Not from Big East (expect for Villanova),,Not from Big Ten,Sum (Out of 18),Team
Kentucky,4,TRUE,FALSE,TRUE,,TRUE,,TRUE,4,Kentucky,,,,,,,,,,,,,,,,,,,,,
Creighton,4,TRUE,FALSE,TRUE,,FALSE,,TRUE,3,Creighton,,,,,,,,,,,,,,,,,,,,,
Michigan St.,4,TRUE,FALSE,TRUE,,TRUE,,FALSE,3,Michigan St.,,,,,,,,,,,,,,,,,,,,,
Illinois,4,FALSE,FALSE,TRUE,,TRUE,,FALSE,2,Illinois,,,,,,,,,,,,,,,,,,,,,
Alabama,5,FALSE,FALSE,TRUE,,TRUE,,TRUE,3,Alabama,,,,,,,,,,,,,,,,,,,,,
Auburn,5,TRUE,FALSE,FALSE,,TRUE,,TRUE,3,Auburn,,,,,,,,,,,,,,,,,,,,,
UCLA,5,TRUE,FALSE,FALSE,,TRUE,,TRUE,3,UCLA,,,,,,,,,,,,,,,,,,,,,
Iowa,5,TRUE,FALSE,FALSE,,TRUE,,FALSE,2,Iowa,,,,,,,,,,,,,,,,,,,,,
UConn,6,TRUE,FALSE,FALSE,,FALSE,,TRUE,2,UConn,,,,,,,,,,,,,,,,,,,,,
Texas Tech,6,FALSE,FALSE,FALSE,,TRUE,,TRUE,2,Texas Tech,,,,,,,,,,,,,,,,,,,,,
Purdue,6,TRUE,FALSE,FALSE,,TRUE,,FALSE,2,Purdue,,,,,,,,,,,,,,,,,,,,,
Tennessee,6,TRUE,FALSE,FALSE,,TRUE,,TRUE,3,Tennessee,,,,,,,,,,,,,,,,,,,,,
Ohio St.,7,TRUE,FALSE,FALSE,,TRUE,,FALSE,2,Ohio St.,,,,,,,,,,,,,,,,,,,,,
Xavier,7,TRUE,FALSE,FALSE,,FALSE,,TRUE,2,Xavier,,,,,,,,,,,,,,,,,,,,,
Saint Mary's,7,TRUE,FALSE,FALSE,,TRUE,,TRUE,3,Saint Mary's,,,,,,,,,,,,,,,,,,,,,
Maryland,7,TRUE,FALSE,FALSE,,TRUE,,FALSE,2,Maryland,,,,,,,,,,,,,,,,,,,,,
Memphis,8,TRUE,FALSE,FALSE,,TRUE,,TRUE,3,Memphis,,,,,,,,,,,,,,,,,,,,,
Michigan,8,TRUE,FALSE,FALSE,,TRUE,,FALSE,2,Michigan,,,,,,,,,,,,,,,,,,,,,
