SEED,TEAM,ROUND,KENPOM ADJUSTED EFFICIENCY,KENPOM ADJUSTED OFFENSE,KENPOM ADJUSTED DEFENSE,KENPOM ADJUSTED TEMPO,BARTTORVIK ADJUSTED EFFICIENCY,BARTTORVIK ADJUSTED OFFENSE,BARTTORVIK ADJUSTED DEFENSE,BARTHAG,ELITE SOS,BARTTORVIK ADJUSTED TEMPO,2PT %,3PT %,FREE THROW %,EFG %,FREE THROW RATE,3PT RATE,ASSIST %,OFFENSIVE REBOUND %,DEFENSIVE REBOUND %,BLOCK %,TURNOVER %,2PT % DEFENSE,3PT % DEFENSE,FREE THROW % DEFENSE,EFG % DEFENSE,FREE THROW RATE DEFENSE,3PT RATE DEFENSE,OP ASSIST %,OP O REB %,OP D REB %,BLOCKED %,TURNOVER % DEFENSE,WINS ABOVE BUBBLE,WIN %,POINTS PER POSSESSION OFFENSE,POINTS PER POSSESSION DEFENSE,HOME WIN %,AWAY WIN %,NEUTRAL WIN %,SCORING MARGIN,TEAM
14,Yale,N / A,2.2,101.5,99.2,68.7,1.3,99.8,98.5,0.538,14.68,69.8,50.5,32.9,73.7,50.1,32.7,36.3,46.4,25.6,73.5,9.2,18.3,51.1,30.4,68.1,48.9,31.1,41.2,48,26.5,74.4,9.7,18.2,-4.9,62.07,1.017,0.988,100,100,100,100,Yale
15,Saint Peter's,N / A,4.3,98.8,94.5,66.0,3.5,97.6,94.1,0.604,12.35,66.8,45.9,34.8,68.5,47.8,37.5,30.3,51.6,31.5,72,14.6,20.8,44,29.4,73.5,44.1,41,36.3,51.6,28,68.5,13.2,20.9,-5.6,62.07,0.983,0.925,100,100,100,100,Saint Peter's
15,Cal St. Fullerton,N / A,2.1,104.7,102.6,66.0,-1.2,102,103.2,0.466,10.89,67.1,48.7,33.5,76.4,49.2,35.7,30,44.7,29,72,5.5,18.1,48,37.1,69.1,50.8,26.1,36.4,54.2,28,71,8.3,20.2,-5.1,65.52,1.036,0.992,100,100,100,100,Cal St. Fullerton
15,Delaware,N / A,2.3,106.8,104.6,66.6,3.6,106.8,103.2,0.597,12.59,67.6,54.2,35,74.2,53.5,34.6,38.2,48.1,26.8,68.8,9.9,18.4,47.5,34.9,75.7,49.3,29.3,35.6,45,31.2,73.2,8,18.5,-5.5,63.64,1.072,1.03,100,100,100,100,Delaware
15,Jacksonville St.,N / A,2.2,105.3,103.1,65.1,2.4,104,101.6,0.567,10.70,66.2,51.8,38.2,68.3,54.2,32.2,42.7,53.9,28.3,73.8,9.2,20,47.4,32.5,77.4,48,21.1,44.9,53.1,26.2,71.7,8.3,17.1,-5.2,65.52,1.059,0.994,100,100,100,100,Jacksonville St.
16,Bryant,N / A,-1.0,104.2,105.2,72.2,-1.7,102.6,104.3,0.453,9.64,73.1,52.6,30.7,73.4,49.7,32.7,43.7,50.6,33,68.4,9.6,19.1,47,32.1,68,47.4,24.4,33.5,54.1,31.6,67,12.7,16.5,-4.8,70.00,1.051,1.009,100,100,100,100,Bryant
16,Georgia St.,N / A,1.8,101.5,99.7,67.1,1.4,100.8,99.4,0.54,12.18,68.2,43.1,32.3,71.6,45.1,30.2,36.9,52.5,32.8,69.3,12.5,16.9,45.4,37.9,70,49.7,32.8,38.1,56.7,30.7,67.2,8.9,22.7,-5.2,60.00,0.993,0.978,100,100,100,100,Georgia St.
16,Norfolk St.,N / A,0.1,102.4,102.3,66.9,-2.2,99.9,102.1,0.438,6.92,68.2,51.3,34.5,69.5,51.5,39.1,35.8,47.6,29.8,72.8,10.2,19.9,46.3,29.1,64.8,45.1,33.3,45.1,54.6,27.2,70.2,9.9,18.5,-3.1,77.78,1.032,0.934,100,100,100,100,Norfolk St.
16,Texas A&M CC,N / A,-6.3,97.0,103.3,68.9,-6.4,96.5,102.9,0.323,7.52,70,47.3,31.6,75,47.3,38.4,31.3,53.4,34.7,71,5.1,19.9,50.5,31.5,75.4,49.1,41.6,42.8,53.8,29,65.3,9.9,22.7,-7.6,63.33,1.024,0.986,100,100,100,100,Texas A&M CC
16,Texas Southern,N / A,-1.3,98.1,99.5,67.6,-1.8,96.9,98.7,0.447,11.94,68.7,49.2,31.7,67.1,48.7,32.7,31.4,42.3,33.8,71.8,13.4,21.4,45.2,29.5,65.6,44.9,34.3,35.8,46.9,28.2,66.2,6.2,17.4,-6.8,60.00,0.996,0.942,100,100,100,100,Texas Southern
16,Wright St.,N / A,-0.9,106.4,107.2,68.4,-2.8,104.1,106.9,0.424,8.92,69.6,53.2,33,76.6,52,31.1,32.5,50.3,31.3,70,7.5,17.9,51.6,33.7,71.3,51.2,26,34.2,41,30,68.7,6.7,18.4,-8.4,60.61,1.086,1.035,100,100,100,100,Wright St.
